iter	RMSE
0	13.60967635
1	12.42841175
2	11.37232205
3	10.43085825
4	9.601383773
5	8.866955999
6	8.218424076
7	7.651984513
8	7.156974494
9	6.728220012
10	6.353230179
11	6.030031469
12	5.751063427
13	5.512773826
14	5.30989226
15	5.135361982
16	4.989354543
17	4.864112361
18	4.760359965
19	4.672654458
20	4.597260904
21	4.528939592
22	4.473082218
23	4.42530361
24	4.385830059
25	4.352155177
26	4.323284404
27	4.296311005
28	4.274964483
29	4.256218556
30	4.23928861
31	4.225446197
32	4.209194317
33	4.194777077
34	4.182934773
35	4.173898478
36	4.158952598
37	4.148159718
38	4.140129555
39	4.131124824
40	4.121530645
41	4.114922701
42	4.106123452
43	4.099580045
44	4.093376979
45	4.087378324
46	4.082519089
47	4.075794618
48	4.068641557
49	4.062837571
50	4.056472637
51	4.051370427
52	4.045740148
53	4.042366526
54	4.037639595
55	4.034201086
56	4.029107654
57	4.026048079
58	4.022985754
59	4.019608119
60	4.014376121
61	4.011192531
62	4.005995221
63	4.003950395
64	4.000132396
65	3.997622635
66	3.99315467
67	3.989313261
68	3.984518174
69	3.982211376
70	3.98032755
71	3.976874868
72	3.973517693
73	3.970767609
74	3.967796854
75	3.964036602
76	3.961344269
77	3.958466298
78	3.955941588
79	3.953777356
80	3.952327411
81	3.949288241
82	3.947251216
83	3.944248242
84	3.942129177
85	3.93959086
86	3.935875726
87	3.933506306
88	3.930812297
89	3.928767697
90	3.927462753
91	3.925859882
92	3.924630493
93	3.921932868
94	3.919076485
95	3.917289881
96	3.915030848
97	3.912672545
98	3.911260562
99	3.910085394
100	3.908026909
101	3.906992771
102	3.905818821
103	3.90471072
104	3.903035472
105	3.901635308
106	3.89940774
107	3.89771213
108	3.895744834
109	3.893765693
110	3.891840826
111	3.889796078
112	3.888126403
113	3.886372023
114	3.884240009
115	3.881843696
116	3.88061728
117	3.879169222
118	3.877550915
119	3.875837059
120	3.874984597
121	3.873383559
122	3.872625457
123	3.871009564
124	3.869404688
125	3.868551305
126	3.867826646
127	3.866631525
128	3.86499193
129	3.863617242
130	3.862659102
131	3.861718986
132	3.860397558
133	3.858720926
134	3.857136126
135	3.855814049
136	3.854478519
137	3.85314643
138	3.852484011
139	3.851109433
140	3.85054983
141	3.849423674
142	3.84790123
143	3.84703183
144	3.845126098
145	3.844002881
146	3.84253453
147	3.841309353
148	3.84020593
149	3.838923631
150	3.836556163
151	3.835320072
152	3.83431825
153	3.833360579
154	3.832386633
155	3.829691158
156	3.829141582
157	3.827530853
158	3.826431818
159	3.825403026
160	3.824078662
161	3.823044054
162	3.821544142
163	3.820130212
164	3.818986521
165	3.817675727
166	3.816547313
167	3.81535384
168	3.814270887
169	3.813452199
170	3.812188898
171	3.811333616
172	3.810600776
173	3.809584167
174	3.808722179
175	3.807418938
176	3.806065549
177	3.80545372
178	3.804506218
179	3.803840485
180	3.803263679
181	3.80215867
182	3.801050815
183	3.800084894
184	3.799011674
185	3.798184709
186	3.797144669
187	3.796099567
188	3.795275985
189	3.794667027
190	3.794032854
191	3.793723527
192	3.79304914
193	3.791970475
194	3.791043129
195	3.789830054
196	3.788825224
197	3.7883708
198	3.787747587
199	3.786768596
