iter	Passed	Remaining
0	10049	1999829
1	20005	1980579
2	29163	1915070
3	38368	1880039
4	47445	1850355
5	56309	1820670
6	65697	1811377
7	74972	1799338
8	83860	1779715
9	92948	1766018
10	101878	1750461
11	110912	1737625
12	119454	1718310
13	128236	1703716
14	137324	1693665
15	146474	1684457
16	155213	1670831
17	163719	1655387
18	173068	1648705
19	182346	1641120
20	191367	1631181
21	200017	1618320
22	208253	1602649
23	217252	1593186
24	225472	1578309
25	234106	1566709
26	240801	1542910
27	248625	1527272
28	257361	1517544
29	264729	1500131
30	273503	1491033
31	280583	1473062
32	289305	1464059
33	298395	1456871
34	306677	1445765
35	313937	1430161
36	323140	1423563
37	332674	1418243
38	341078	1408043
39	350066	1400265
40	359949	1395900
41	368802	1387399
42	378482	1381899
43	387848	1375099
44	396784	1366701
45	406812	1361938
46	415037	1351080
47	424539	1344375
48	434487	1338930
49	444764	1334294
50	455456	1330648
51	466225	1326950
52	475348	1318420
53	484217	1309179
54	493119	1300041
55	502318	1291676
56	511051	1282112
57	519641	1272225
58	528463	1262937
59	537212	1253496
60	547516	1247619
61	556854	1239450
62	565727	1230232
63	575395	1222715
64	584716	1214410
65	592151	1202247
66	600678	1192392
67	609968	1184056
68	619370	1175905
69	627241	1164877
70	634232	1152337
71	642975	1143066
72	653458	1136838
73	662641	1128281
74	671321	1118868
75	680928	1110988
76	690079	1102335
77	698470	1092479
78	707730	1083991
79	716186	1074280
80	724131	1063847
81	734016	1056268
82	741580	1045360
83	752430	1039070
84	761367	1030086
85	768855	1019180
86	778842	1011600
87	788466	1003502
88	798143	995437
89	807308	986709
90	814135	975173
91	822519	965566
92	829309	954151
93	840004	947239
94	848932	938294
95	857488	928945
96	865470	919004
97	875027	910742
98	883327	901172
99	890094	890094
100	898919	881119
101	906300	870759
102	914715	861431
103	923864	852798
104	933782	844850
105	943576	836756
106	953296	828566
107	963362	820642
108	971161	810786
109	980451	802187
110	989591	793456
111	998110	784229
112	1006641	775025
113	1016897	767133
114	1026236	758522
115	1037128	751023
116	1045540	741708
117	1054103	732512
118	1063397	723824
119	1073888	715925
120	1082191	706554
121	1091336	697739
122	1100055	688652
123	1108891	679643
124	1117259	670355
125	1125431	660967
126	1132342	650873
127	1141473	642078
128	1150951	633469
129	1160324	624790
130	1168328	615379
131	1177987	606841
132	1187215	598071
133	1196109	589128
134	1204830	580103
135	1214150	571364
136	1222832	562324
137	1231063	553086
138	1239262	543849
139	1248339	535002
140	1256918	525944
141	1265471	516882
142	1275252	508317
143	1283294	499058
144	1293459	490622
145	1303978	482293
146	1312521	473222
147	1321672	464371
148	1330225	455312
149	1339163	446387
150	1348699	437657
151	1357493	428682
152	1366488	419770
153	1374682	410619
154	1384269	401884
155	1393788	393119
156	1402456	384112
157	1412396	375447
158	1421440	366534
159	1428283	357070
160	1437355	348179
161	1446621	339331
162	1456671	330655
163	1465915	321786
164	1475795	313047
165	1484872	304130
166	1494455	295311
167	1504491	286569
168	1513610	277644
169	1522514	268679
170	1533603	260084
171	1542449	251096
172	1551042	242070
173	1559836	233078
174	1568252	224036
175	1577237	215077
176	1585107	205974
177	1594969	197131
178	1604690	188259
179	1614218	179357
180	1622082	170273
181	1631028	161310
182	1639988	152348
183	1649407	143426
184	1660078	134600
185	1668639	125596
186	1677533	116619
187	1687905	107738
188	1697295	98784
189	1706224	89801
190	1715258	80823
191	1724633	71859
192	1733648	62878
193	1742839	53902
194	1751338	44906
195	1761316	35945
196	1770211	26957
197	1778801	17967
198	1788319	8986
199	1797106	0
